entry_id,source,page_ref,chinese,pinyin,kimmun,vietnamese,meaning_en,category,notes,CORRECTED_PAGE
CL-001,Clark (2000),p.1,,,θɐw³³ (Laos) | ɡuŋ³¹ (Vietnam),Con kiến,ant (Clark 2008),General,,
CL-002,Clark (2000),p.1,,,klɐ.buj⁵² (Laos) | mə.nɔj³⁵ (Vietnam),Con dơi,bat (Clark 2008),General,,
CL-004,Clark (2000),p.1,,,mɐj³⁴¹muŋ⁴⁴,Con ong,bee (Clark 2008),General,,
CL-005,Clark (2000),p.1,,,nɔ³³,Con chim,bird (Clark 2008),General,,
CL-006,Clark (2000),p.1,,,ŋɔŋ¹¹,Con trâu,buffalo (Clark 2008),General,,
CL-007,Clark (2000),p.1,,,maːw¹¹,Con mèo,cat (Clark 2008),General,,
CL-008,Clark (2000),p.1,,,buŋ³³blɐw³⁴¹,Sâu bướm,caterpillar (Clark 2008),General,,
CL-009,Clark (2000),p.1,,,θap⁵²,Con rết,centipede (Clark 2008),General,,
CL-010,Clark (2000),p.1,,,cock,Con gà,chicken (Clark 2008),General,,
CL-011,Clark (2000),p.1,,,hen,Con gà,chicken (Clark 2008),General,,
CL-012,Clark (2000),p.1,,,ȶɐj²¹⁴,Con gà,chicken (Clark 2008),General,,
CL-014,Clark (2000),p.1,,,kjɐm³⁵ȵaj²¹⁴,Con cua,crab (Clark 2008),General,,
CL-015,Clark (2000),p.1,,,kjɛŋ²¹⁴kjo³¹,Con dế,cricket (Clark 2008),General,,
CL-013,Clark (2000),p.1,,,buŋ²¹,Mưa,rain (Clark 2008),General,,
CL-016,Clark (2000),p.1,,,ku.aː³¹,Con quạ,crow (Clark 2008),General,,
CL-019,Clark (2000),p.1,,,klu⁴⁴,Con chó,dog (Clark 2008),General,,
CL-017,Clark (2000),p.1,,,ȡaːw¹³,Gió,wind (Clark 2008),General,,
CL-020,Clark (2000),p.1,,,kuŋ²¹⁴,Con rồng,dragon (Clark 2008),General,,
CL-018,Clark (2000),p.1,,,ȡaw¹³kja⁵³,Bão,storm (Clark 2008),General,,
CL-021,Clark (2000),p.1,,,fly,Con rồng,dragon (Clark 2008),General,,
CL-024,Clark (2000),p.1,,,klaːŋ⁴⁴,Đại bàng,eagle (Clark 2008),General,,
CL-022,Clark (2000),p.1,,,si³⁵,Thời tiết,weather (Clark 2008),General,,
CL-025,Clark (2000),p.1,,,bjaw³⁴¹,Con cá,fish (Clark 2008),General,,
CL-026,Clark (2000),p.1,,,klɐ.muŋ⁵²,Con bọ chét,flea (Clark 2008),General,,
CL-027,Clark (2000),p.1,,,kjɛŋ²¹⁴ɡjɐm⁵²,Con ruồi,fly (Clark 2008),General,,
CL-028,Clark (2000),p.1,,,ȶɛŋ⁴⁴,Con ếch,frog (Clark 2008),General,,
CL-029,Clark (2000),p.1,,,juŋ¹¹,Con dê,goat (Clark 2008),General,,
CL-030,Clark (2000),p.1,,,kjɛŋ²¹⁴bo³¹,Châu chấu,grasshopper (Clark 2008),General,,
CL-031,Clark (2000),p.1,,,ma³⁴¹,Con ngựa,horse (Clark 2008),General,,
CL-032,Clark (2000),p.1,,,kjɛŋ²¹⁴,Côn trùng,insect (Clark 2008),General,,
CL-035,Clark (2000),p.1,,,bɐ.koŋ¹¹saː⁵²,Con thằn lằn,lizard (Clark 2008),General,,
CL-033a,Clark (2000),p.1,,,tɔŋ⁵³faːn¹³,Hướng Đông,east (Clark 2008),General,,
CL-033b,Clark (2000),p.1,,,mə.nɔj³⁵sɛt³¹faːn¹³,Hướng Đông,east (Clark 2008),General,,
CL-037,Clark (2000),p.1,,,biŋ²¹⁴,Con khỉ,monkey (Clark 2008),General,,
CL-034a,Clark (2000),p.1,,,fe⁵³faːn¹³,Hướng Tây,west (Clark 2008),General,,
CL-038,Clark (2000),p.1,,,kjɛŋ²¹⁴,Con muỗi,mosquito (Clark 2008),General,,
CL-034b,Clark (2000),p.1,,,mə.nɔj³⁴¹mot²¹ȶəj³¹faːn¹³,Hướng Tây,west (Clark 2008),General,,
CL-039,Clark (2000),p.1,,,tuŋ³¹,Con lợn,pig (Clark 2008),General,,
CL-035a,Clark (2000),p.1,,,pu³³faːn¹³,Hướng Bắc,north (Clark 2008),General,,
CL-035b,Clark (2000),p.1,,,ȶa³¹le³⁵faːn¹³,Hướng Bắc,north (Clark 2008),General,,
CL-041,Clark (2000),p.1,,,tuŋ³¹kjɐn²¹⁴,Lợn con,piglet (Clark 2008),General,,
CL-036a,Clark (2000),p.1,,,naːm³¹faːn¹³,Hướng Nam,south (Clark 2008),General,,
CL-042,Clark (2000),p.1,,,sow,Con lợn,pig (Clark 2008),General,,
CL-036b,Clark (2000),p.1,,,ku³³le³⁵faːn¹³,Hướng Nam,south (Clark 2008),General,,
CL-043,Clark (2000),p.1,,,du²¹⁴,Con chuột,rat (Clark 2008),General,,
CL-044,Clark (2000),p.1,,,ȶa³¹kɔŋ²¹⁴,Con tôm,shrimp (Clark 2008),General,,
CL-045,Clark (2000),p.1,,,kwɐj²¹⁴,Con ốc,snail (Clark 2008),General,,
CL-046,Clark (2000),p.1,,,naːŋ²¹⁴,Con rắn,snake (Clark 2008),General,,
CL-040,Clark (2000),p.1,,,wɔm⁵³nɔ³⁴¹,Suối,stream (Clark 2008),General,,
CL-048,Clark (2000),p.1,,,kjɛŋ²¹⁴ȵaː⁴⁴,Con nhện,spider (Clark 2008),General,,
CL-049,Clark (2000),p.1,,,ɡjaːn¹¹,Con hổ,tiger (Clark 2008),General,,
CL-050,Clark (2000),p.1,,,pit³¹,Con rùa,turtle (Clark 2008),General,,
CL-051,Clark (2000),p.1,,,mɐj³⁴¹,Ong vò vẽ,wasp (Clark 2008),General,,
CL-052,Clark (2000),p.1,,,kin¹¹maːw¹¹,Con chồn,weasel (Clark 2008),General,,
CL-053,Clark (2000),p.1,,,nuŋ¹¹naŋ²¹⁴,Giun đất,earthworm (Clark 2008),General,,
CL-047,Clark (2000),p.1,,,ɡjaw⁵³θaj⁵³min³¹,Cát,sand (Clark 2008),General,,
CL-054,Clark (2000),p.1,,,-------,Con ngỗng,goose (Clark 2008),General,,
CL-049a,Clark (2000),p.1,,,ȵan³¹pɛ²¹,Bạc,silver (Clark 2008),General,,
CL-049b,Clark (2000),p.1,,,-------,Bạc,silver (Clark 2008),General,,
CL-060,Clark (2000),p.1,,,θaːm³³,Máu,blood (Clark 2008),General,,
CL-055,Clark (2000),p.1,,,ɡlaːŋ³¹,Đầm lầy,swamp (Clark 2008),General,,
CL-062,Clark (2000),p.1,,,θuŋ⁴⁴,Xương,bone (Clark 2008),General,,
CL-056,Clark (2000),p.2,,,pu.θe⁵²,Cánh tay,arm (Clark 2008),General,,
CL-057,Clark (2000),p.2,,,kɐ.tan⁴⁴kaŋ²¹⁴,Lưng,back (Clark 2008),General,,
CL-058,Clark (2000),p.2,,,θɔm⁵²,Râu,beard (Clark 2008),General,,
CL-059,Clark (2000),p.2,,,ȵo³³,Bụng,belly (Clark 2008),General,,
CL-061,Clark (2000),p.2,,,θin⁵²,Cơ thể,body (Clark 2008),General,,
CL-063,Clark (2000),p.2,,,pi⁴⁴le⁴⁴,Não,brain (Clark 2008),General,,
CL-064,Clark (2000),p.2,,,kɐ.tlaj⁴⁴kɐ⁵²,Mông,butt (Clark 2008),General,,
CL-065,Clark (2000),p.2,,,kɐ.lap³¹,Ngực,chest (Clark 2008),General,,
CL-067,Clark (2000),p.2,,,mun¹¹tɐj³³,Xác chết,corpse (Clark 2008),General,,
CL-068,Clark (2000),p.2,,,mɐ.nɔm¹¹,Tai,ears (Clark 2008),General,,
CL-069,Clark (2000),p.2,,,kjaw³⁵,Quả trứng,egg (Clark 2008),General,,
CL-070,Clark (2000),p.2,,,mɐj³³,Mắt,eye (Clark 2008),General,,
CL-071,Clark (2000),p.2,,,mɐj³³maːj³¹,Lông mày,eyebrows (Clark 2008),General,,
CL-072,Clark (2000),p.2,,,min⁵²,Khuôn mặt,face (Clark 2008),General,,
CL-066,Clark (2000),p.2,,,wɔm⁵³ɡap²¹,Hồ,lake (Clark 2008),General,,
CL-073,Clark (2000),p.2,,,dɐj⁴⁴,Phân,excrement (Clark 2008),General,,
CL-074,Clark (2000),p.2,,,pu.dɔ³¹,Ngón tay,finger (Clark 2008),General,,
CL-076,Clark (2000),p.2,,,(surface),Bàn chân,foot (Clark 2008),General,,
CL-081,Clark (2000),p.2,,,pje⁴⁴,Đầu,head (Clark 2008),General,,
CL-082,Clark (2000),p.2,,,θin²¹⁴taw³¹,Trái tim,heart (Clark 2008),General,,
CL-075,Clark (2000),p.2,,,ɡjaŋ³³pjo³³,Quả / Trái,fruit (Clark 2008),General,,
CL-076a,Clark (2000),p.2,,,-------,Hạt,seed (Clark 2008),General,,
CL-084,Clark (2000),p.2,,,θaw³⁵dɔ³¹waj³⁵,Móng guốc,hoof (Clark 2008),General,,
CL-076b,Clark (2000),p.2,,,nɔm⁵³,Hạt,seed (Clark 2008),General,,
CL-085,Clark (2000),p.2,,,kjɔŋ²¹⁴,Sừng,horn (Clark 2008),General,,
CL-086,Clark (2000),p.2,,,klaːŋ¹¹,Ruột,intestine (Clark 2008),General,,
CL-078,Clark (2000),p.2,,,laːw¹¹,Tre,bamboo (Clark 2008),General,,
CL-087,Clark (2000),p.2,,,θaw³⁵,Chân,leg (Clark 2008),General,,
CL-079,Clark (2000),p.2,,,shoot,Tre,bamboo (Clark 2008),General,,
CL-088,Clark (2000),p.2,,,ɡjɐn⁵²,Gan,liver (Clark 2008),General,,
CL-080,Clark (2000),p.2,,,pole,Tre,bamboo (Clark 2008),General,,
CL-089,Clark (2000),p.2,,,klum⁵²,Phổi,lungs (Clark 2008),General,,
CL-091,Clark (2000),p.2,,,ȡɐt³³,Miệng,mouth (Clark 2008),General,,
CL-092,Clark (2000),p.2,,,blut³³,Dịch nhầy,mucus (Clark 2008),General,,
CL-093,Clark (2000),p.2,,,klaːŋ²¹⁴,Cổ,neck (Clark 2008),General,,
CL-094,Clark (2000),p.2,,,ɡjaw³⁴¹,Tổ,nest (Clark 2008),General,,
CL-114,Clark (2000),p.2,,,ŋaːm¹¹,Hang động,cave (Clark 2008),General,,
CL-115,Clark (2000),p.2,,,ɡjaw²¹⁴pje³¹,Vách đá,cliff (Clark 2008),General,,
CL-116,Clark (2000),p.2,,,vɐn³⁵,Đám mây,cloud (Clark 2008),General,,
CL-119,Clark (2000),p.2,,,ni⁵²,Đất / Trái đất,earth (Clark 2008),General,,
CL-121,Clark (2000),p.2,,,kim¹¹,Rừng,forest (Clark 2008),General,,
CL-122,Clark (2000),p.2,,,sɐm²¹⁴,Vàng,gold (Clark 2008),General,,
CL-123,Clark (2000),p.2,,,ɡjaː⁵²,Sắt,iron (Clark 2008),General,,
CL-125,Clark (2000),p.2,,,ȶɔŋ²¹⁴,Núi,mountain (Clark 2008),General,,
CL-126,Clark (2000),p.2,,,paːm³³,Bùn,mud (Clark 2008),General,,
CL-128,Clark (2000),p.2,,,buŋ³³lu⁵²,Mưa,rain (Clark 2008),General,,
CL-129,Clark (2000),p.2,,,kɔj³³,Con sông,river (Clark 2008),General,,
CL-131,Clark (2000),p.2,,,ɡjaw²¹⁴θaːj²¹⁴,Cát,sand (Clark 2008),General,,
CL-132,Clark (2000),p.2,,,ȵaːn¹¹,Bạc,silver (Clark 2008),General,,
CL-133,Clark (2000),p.2,,,ɡuŋ¹¹,Bầu trời,sky (Clark 2008),General,,
CL-134,Clark (2000),p.2,,,ɡjaw²¹⁴,Đá,stone (Clark 2008),General,,
CL-135,Clark (2000),p.2,,,mɐ.nɔj⁵²,Mặt trời,sun (Clark 2008),General,,
CL-137,Clark (2000),p.2,,,bu.kɔŋ²¹⁴,Sấm sét,thunder (Clark 2008),General,,
CL-138,Clark (2000),p.2,,,wɐm²¹⁴,Nước,water (Clark 2008),General,,
CL-139,Clark (2000),p.2,,,ȡaːw³⁵,Gió,wind (Clark 2008),General,,
CL-153,Clark (2000),p.2,,,faŋ¹¹,Hoa,flower (Clark 2008),General,,
CL-154,Clark (2000),p.2,,,pjo⁴⁴,Quả / Trái,fruit (Clark 2008),General,,
CL-158,Clark (2000),p.2,,,nɔm¹¹,Lá,leaf (Clark 2008),General,,
CL-163,Clark (2000),p.2,,,ɡjaːn³¹,Con hổ,tiger (Clark 2008),General,,
CL-166,Clark (2000),p.2,,,du⁵³kuk³⁵,Con khỉ,monkey (Clark 2008),General,,
CL-169,Clark (2000),p.2,,,klu³³,Con chó,dog (Clark 2008),General,,
CL-172a,Clark (2000),p.2,,,maːw³¹,Con mèo,cat (Clark 2008),General,,
CL-172b,Clark (2000),p.2,,,-------,Con mèo,cat (Clark 2008),General,,
CL-173,Clark (2000),p.2,,,tuŋ³⁴¹,Con lợn,pig (Clark 2008),General,,
CL-176,Clark (2000),p.2,,,ŋɔŋ³³bu¹¹,Con trâu,buffalo (Clark 2008),General,,
CL-177,Clark (2000),p.2,,,kjoŋ⁵³,Sừng,horn (Clark 2008),General,,
CL-186,Clark (2000),p.2,,,mɐ.nɔj⁵²ȶaː³⁵,Ban ngày,day (Clark 2008),General,,
CL-180,Clark (2000),p.2,,,nɔ²¹,Con chim,bird (Clark 2008),General,,
CL-190,Clark (2000),p.2,,,bɐ.tɔm²¹⁴ɡjo³¹,Buổi sáng,morning (Clark 2008),General,,
CL-191,Clark (2000),p.2,,,ȡaːm³³,Ban đêm,night (Clark 2008),General,,
CL-192,Clark (2000),p.2,,,ȵaŋ⁵²,Năm,year (Clark 2008),General,,
CL-185,Clark (2000),p.2,,,kjaw¹³,Quả trứng,egg (Clark 2008),General,,
CL-187,Clark (2000),p.2,,,aːp⁵³,Con vịt,duck (Clark 2008),General,,
CL-188,Clark (2000),p.2,,,bjaw³⁴¹,Con cá,fish (Clark 2008),General,,
CL-189,Clark (2000),p.2,,,naːŋ⁵³,Con rắn,snake (Clark 2008),General,,
CL-193,Clark (2000),p.2,,,ȶɛŋ³³,Con ếch,frog (Clark 2008),General,,
CL-195,Clark (2000),p.2,,,kjiŋ⁵³ȵaː³³,Con nhện,spider (Clark 2008),General,,
CL-196,Clark (2000),p.2,,,web,Con nhện,spider (Clark 2008),General,,
CL-200,Clark (2000),p.2,,,kwe⁵³,Con ốc,snail (Clark 2008),General,,
CL-201,Clark (2000),p.2,,,ȶim⁵³ȶaːj⁵³,Con muỗi,mosquito (Clark 2008),General,,
CL-202,Clark (2000),p.2,,,məj³⁴¹,Con ong,bee (Clark 2008),General,,
CL-203,Clark (2000),p.2,,,kjiŋ⁵³ɡjəm³⁵,Con ruồi,fly (Clark 2008),General,,
CL-206,Clark (2000),p.2,,,duŋ³¹naːŋ⁵³,Giun đất,earthworm (Clark 2008),General,,
CL-207,Clark (2000),p.2,,,pje³³,Đầu,head (Clark 2008),General,,
CL-208,Clark (2000),p.2,,,min³⁵,Khuôn mặt,face (Clark 2008),General,,
CL-209,Clark (2000),p.2,,,pje³³le²¹,Não,brain (Clark 2008),General,,
CL-213,Clark (2000),p.2,,,məj²¹,Mắt,eye (Clark 2008),General,,
CL-218,Clark (2000),p.2,,,ȡɛt²¹,Miệng,mouth (Clark 2008),General,,
CL-224,Clark (2000),p.2,,,ȡɛt²¹θɔm³⁵,Râu,beard (Clark 2008),General,,
CL-225,Clark (2000),p.2,,,tan³³kaːn⁵³,Lưng,back (Clark 2008),General,,
CL-227,Clark (2000),p.2,,,θim⁵³taːw³¹,Trái tim,heart (Clark 2008),General,,
CL-228,Clark (2000),p.2,,,klum³⁵,Phổi,lungs (Clark 2008),General,,
CL-229,Clark (2000),p.2,,,ɡjan³⁵,Gan,liver (Clark 2008),General,,
CL-235,Clark (2000),p.2,,,pu³⁴¹dɔ⁵³,Ngón tay,finger (Clark 2008),General,,
CL-238,Clark (2000),p.2,,,θaw³³klaːŋ⁵³,Chân,leg (Clark 2008),General,,
CL-243,Clark (2000),p.2,,,θaw¹³,Bàn chân,foot (Clark 2008),General,,
CL-245,Clark (2000),p.2,,,θuŋ³³,Xương,bone (Clark 2008),General,,
CL-250,Clark (2000),p.2,,,saːm¹¹,Máu,blood (Clark 2008),General,,
CL-253,Clark (2000),p.2,,,daːj³³,Phân,excrement (Clark 2008),General,,
CL-306,Clark (2000),p.2,,,weight,Ánh sáng,light (Clark 2008),General,,
SA-0001,Savina (1926),p.1,,,ván g kien du ton,érroyo,(Source 1926) érroyo,Savina Dictionary,,
SA-0002,Savina (1926),p.1,,,chu i,Côte (pente),(Source 1926) Côte (pente),Savina Dictionary,,
SA-0003,Savina (1926),p.1,,,la vérité cóng sien cóng chien,Nói,(Source 1926) Dire,Savina Dictionary,,
SA-0004,Savina (1926),p.1,,,cóng chá cóng chá,Mentir,(Source 1926) Mentir,Savina Dictionary,,
SA-0005,Savina (1926),p.1,,,biët biêt,Langue,(Source 1926) Langue,Savina Dictionary,,
SA-0006,Savina (1926),p.1,,,nom ghêâu lap piêy,Pierre,(Source 1926) Pierre,Savina Dictionary,,
SA-0007,Savina (1926),p.1,,,boueux tiu kiáu nài pam kiáo don g,Chemin,(Source 1926) Chemin,Savina Dictionary,,
SA-0008,Savina (1926),p.1,,,lue ha put ha,Enrhumé,(Source 1926) Enrhumé,Savina Dictionary,,
SA-0009,Savina (1926),p.1,,,reposer hït khôn hit khon,Se,(Source 1926) Se,Savina Dictionary,,
SA-0010,Savina (1926),p.1,,,du soleil bô nói xláo ban n'hoi xâo,Lever,(Source 1926) Lever,Savina Dictionary,,
SA-0011,Savina (1926),p.1,,,du soleil bô nói gia ban n'hoi già,Coucher,(Source 1926) Coucher,Savina Dictionary,,
SA-0012,Savina (1926),p.1,,,xláo xâo,Monter,(Source 1926) Monter,Savina Dictionary,,
SA-0013,Savina (1926),p.1,,,gi? già,Descendre,(Source 1926) Descendre,Savina Dictionary,,
SA-0014,Savina (1926),p.1,,,de lune là goáng n'ha nhut guêâng,Clair,(Source 1926) Clair,Savina Dictionary,,
SA-0015,Savina (1926),p.1,,,ghiáng diâng,érbre,(Source 1926) érbre,Savina Dictionary,,
SA-0016,Savina (1926),p.1,,,ghiáng duông ctiáng con,Rễ,(Source 1926) Racine,Savina Dictionary,,
SA-0017,Savina (1926),p.1,,,ghiáng nom diâng nom,Lá,(Source 1926) Feuille,Savina Dictionary,,
SA-0018,Savina (1926),p.1,,,ghiáng cîôp diâng dôp,Écorce,(Source 1926) Écorce,Savina Dictionary,,
SA-0019,Savina (1926),p.1,,,ghiáng qua diâng xa,Cành,(Source 1926) Branche,Savina Dictionary,,
SA-0020,Savina (1926),p.1,,,de l'arbre ghiáng čténg diâng tuêy,Cime,(Source 1926) Cime,Savina Dictionary,,
SA-0021,Savina (1926),p.1,,,un arbre cói ghiáng cói diáng,Couper,(Source 1926) Couper,Savina Dictionary,,
SA-0022,Savina (1926),p.1,,,glissant kiáu got kiáo bêang,Chemin,(Source 1926) Chemin,Savina Dictionary,,
SA-0023,Savina (1926),p.1,,,phûn si p'an xi,Natte,(Source 1926) Natte,Savina Dictionary,,
SA-0024,Savina (1926),p.1,,,phûn xlông p'an xóng,Couverture,(Source 1926) Couverture,Savina Dictionary,,
SA-0025,Savina (1926),p.1,,,hù hua,Epais,(Source 1926) Epais,Savina Dictionary,,
SA-0026,Savina (1926),p.1,,,pha pîa,Mince,(Source 1926) Mince,Savina Dictionary,,
SA-0027,Savina (1926),p.1,,,la porte khói ken g khoi kèng,Ouvrir,(Source 1926) Ouvrir,Savina Dictionary,,
SA-0028,Savina (1926),p.1,,,la porte cón keng cuôn kèng,Fermer,(Source 1926) Fermer,Savina Dictionary,,
SA-0029,Savina (1926),p.1,,,une maison bom pêâu côm pêao,Couvrir,(Source 1926) Couvrir,Savina Dictionary,,
SA-0030,Savina (1926),p.1,,,peau turn pêao tûng,Toit,(Source 1926) Toit,Savina Dictionary,,
SA-0031,Savina (1926),p.1,,,le tambour bô tgiù bô tzu,Frapper,(Source 1926) Frapper,Savina Dictionary,,
SA-0032,Savina (1926),p.1,,,chô tai pâu tai,épporter,(Source 1926) épporter,Savina Dictionary,,
SA-0033,Savina (1926),p.1,,,tau beau tau beau,Cá,(Source 1926) Poisson,Savina Dictionary,,
SA-0034,Savina (1926),p.1,,,llauy' táy,Chết,(Source 1926) Mourir,Savina Dictionary,,
SA-0035,Savina (1926),p.1,,,h'lua,Lớn,(Source 1926) Grand,Savina Dictionary,,
SA-0036,Savina (1926),p.1,,,kiên ton,Nhỏ,(Source 1926) Petit,Savina Dictionary,,
SA-0037,Savina (1926),p.1,,,tau ngong tau ngong,Trâu,(Source 1926) Buffle,Savina Dictionary,,
SA-0038,Savina (1926),p.1,,,une maison áy peáu txâu pêao,Faire,(Source 1926) Faire,Savina Dictionary,,
SA-0039,Savina (1926),p.1,,,sang xêâng,Mới,(Source 1926) Neuf,Savina Dictionary,,
SA-0040,Savina (1926),p.1,,,lô lu,Già/Cũ,(Source 1926) Vieux,Savina Dictionary,,
SA-0041,Savina (1926),p.1,,,bô lài ? bua chîa?,Combien ?,(Source 1926) Combien ?,Savina Dictionary,,
SA-0042,Savina (1926),p.1,,,giâu pë mua toi,Frères,(Source 1926) Frères,Savina Dictionary,,
SA-0043,Savina (1926),p.1,,,phá on g cô,Père,(Source 1926) Père,Savina Dictionary,,
SA-0044,Savina (1926),p.1,,,tgi ông nham,Mère,(Source 1926) Mère,Savina Dictionary,,
SA-0045,Savina (1926),p.1,,,cóng,Mari,(Source 1926) Mari,Savina Dictionary,,
SA-0046,Savina (1926),p.1,,,áu,Epouse,(Source 1926) Epouse,Savina Dictionary,,
SA-0047,Savina (1926),p.1,,,tau corn tgiay tao giày,Cerf,(Source 1926) Cerf,Savina Dictionary,,
SA-0048,Savina (1926),p.1,,,tau ghian tao diu mào,Hổ,(Source 1926) Tigre,Savina Dictionary,,
SA-0049,Savina (1926),p.1,,,un coup de fusil phon tsông pôn tsûng,Tirer,(Source 1926) Tirer,Savina Dictionary,,
SA-0050,Savina (1926),p.1,,,chu gùy khôa chu lui hâu,S'habiller,(Source 1926) S'habiller,Savina Dictionary,,
SA-0451,Savina (1926),p.10,,,"tgiuoy sët. éccentuer. — ses mots en parlant,","ébstraire,","(Source 1926) ébstraire,",Savina Dictionary,,
SA-0452,Savina (1926),p.10,,,ch au va nan cóng sang chàu sang chàu.,"ébstrait. Discours — ,","(Source 1926) ébstrait. Discours — ,",Savina Dictionary,,
SA-0453,Savina (1926),p.10,,,chêy xlâu dô nan tu,"ébstrus. Livre — ,","(Source 1926) ébstrus. Livre — ,",Savina Dictionary,,
SA-0454,Savina (1926),p.10,,,"má hop ghéy. Faire une l 'argent, ghing nhan. — , agréer,","ébsurde,","(Source 1926) ébsurde,",Savina Dictionary,,
SA-0455,Savina (1926),p.10,,,lun long,"ébus,","(Source 1926) ébus,",Savina Dictionary,,
SA-0456,Savina (1926),p.10,,,"du vin, hop tíu có tù. êy",ébuser. —,(Source 1926) ébuser. —,Savina Dictionary,,
SA-0457,Savina (1926),p.10,,,có tù. keng tu. Ce chemin donne — au,"ébusif,","(Source 1926) ébusif,",Savina Dictionary,,
SA-0458,Savina (1926),p.10,,,"p'î hi. village, nêy tiu kiáu gia ghiàng.","écabit,","(Source 1926) écabit,",Savina Dictionary,,
SA-0459,Savina (1926),p.10,,,khôm có bâo,"écacia,","(Source 1926) écacia,",Savina Dictionary,,
SA-0460,Savina (1926),p.10,,,"phán quát. Femme — , — de colère, phôt náu a hey.","écariâtre,","(Source 1926) écariâtre,",Savina Dictionary,,
SA-0461,Savina (1926),p.10,,,"de la gale, c'iu kèjig.",écarus. —,(Source 1926) écarus. —,Savina Dictionary,,
SA-0462,Savina (1926),p.10,,,ni gióng,"éccablant,","(Source 1926) éccablant,",Savina Dictionary,,
SA-0463,Savina (1926),p.10,,,"accablante, kióm gióng Personne—, mun giông gi phoat min. — à",Chaleur,(Source 1926) Chaleur,Savina Dictionary,,
SA-0464,Savina (1926),p.10,,,"de travail, eu áy corn mun nai xlem mun toi.",éccabler. —,(Source 1926) éccabler. —,Savina Dictionary,,
SA-0465,Savina (1926),p.10,,,"maladie est dans une éccident. — malheureux, cá nan.",éccalmie. La,(Source 1926) éccalmie. La,Savina Dictionary,,
SA-0466,Savina (1926),p.10,,,ni mápeng,"éccidenté. Terrain —,","(Source 1926) éccidenté. Terrain —,",Savina Dictionary,,
SA-0467,Savina (1926),p.10,,,"má xlèm, má êy","éccidentel,","(Source 1926) éccidentel,",Savina Dictionary,,
SA-0468,Savina (1926),p.10,,,"gi de partir, chán phëp ning.","éccidentellement. Rencontrer — ,","(Source 1926) éccidentellement. Rencontrer — ,",Savina Dictionary,,
SA-0469,Savina (1926),p.10,,,"quelqu'un, cùng ho tau coy cá sien ning. —",écclamer. —,(Source 1926) écclamer. —,Savina Dictionary,,
SA-0470,Savina (1926),p.10,,,su warn,"écclimater, écclimaté,","(Source 1926) écclimater, écclimaté,",Savina Dictionary,,
SA-0471,Savina (1926),p.10,,,"ď — , ghiom éccouchement. Douleurs de Г — ,",écclimatation. Jardin,(Source 1926) écclimatation. Jardin,Savina Dictionary,,
SA-0472,Savina (1926),p.10,,,"des éccoucher, nai siêy",éccointance. évoir,(Source 1926) éccointance. évoir,Savina Dictionary,,
SA-0473,Savina (1926),p.10,,,tom min,"éccolade. Donner Г — ,","(Source 1926) éccolade. Donner Г — ,",Savina Dictionary,,
SA-0474,Savina (1926),p.10,,,"la eláng tom min. éccoudoir, nom chóm ghèom tghèô.c.","éccoler,","(Source 1926) éccoler,",Savina Dictionary,,
SA-0475,Savina (1926),p.10,,,"mun éccoupler (S'). — (animaux),","éccommodant. Individu — ,","(Source 1926) éccommodant. Individu — ,",Savina Dictionary,,
SA-0476,Savina (1926),p.10,,,"hop tong. éccourcir, áy phún ning. S"" — , xlô.","éccommodement,","(Source 1926) éccommodement,",Savina Dictionary,,
SA-0477,Savina (1926),p.10,,,"un mets, bên nhén éccourir, tai can",éccommoder. —,(Source 1926) éccommoder. —,Savina Dictionary,,
SA-0478,Savina (1926),p.10,,,tong ning,"éccompagner,","(Source 1926) éccompagner,",Savina Dictionary,,
SA-0479,Savina (1926),p.10,,,"complet, sâpchôc. Un chêy bang xláu.","éccompli. — ,","(Source 1926) éccompli. — ,",Savina Dictionary,,
SA-0480,Savina (1926),p.10,,,eau ghi,"Temps — ,","(Source 1926) Temps — ,",Savina Dictionary,,
SA-0481,Savina (1926),p.10,,,"un ouvrage, áy corn páu réputation, hu meng xling.",éccomplir. —,(Source 1926) éccomplir. —,Savina Dictionary,,
SA-0482,Savina (1926),p.10,,,"ď—, vo moc",éccord. Être,(Source 1926) éccord. Être,Savina Dictionary,,
SA-0483,Savina (1926),p.10,,,nai bo.ng,"éccordailles,","(Source 1926) éccordailles,",Savina Dictionary,,
SA-0484,Savina (1926),p.10,,,"des plantes, chiêy",éccroissement. —,(Source 1926) éccroissement. —,Savina Dictionary,,
SA-0485,Savina (1926),p.10,,,"them, siang lu ghiáng. — j","éccroître,","(Source 1926) éccroître,",Savina Dictionary,,
SA-0486,Savina (1926),p.10,,,ning kiáu.,"écheminer (S'),","(Source 1926) écheminer (S'),",Savina Dictionary,,
SA-0487,Savina (1926),p.10,,,"mai. — bon marché, mai","écheter,","(Source 1926) écheter,",Savina Dictionary,,
SA-0488,Savina (1926),p.10,,,"et vendeur, mun mai",écheteur. —,(Source 1926) écheteur. —,Savina Dictionary,,
SA-0489,Savina (1926),p.10,,,"et com com. échever. — un ouvrage, áy côm","éccroupir (S'),","(Source 1926) éccroupir (S'),",Savina Dictionary,,
SA-0490,Savina (1926),p.10,,,ni phuan. pâu giù,"éccrue,","(Source 1926) éccrue,",Savina Dictionary,,
